ablated_strategy,noise_rate,posterior_threshold,cases_per_seed,seeds,full_accuracy,ablated_accuracy,accuracy_difference,accuracy_difference_ci_low,accuracy_difference_ci_high,full_average_questions,ablated_average_questions,question_difference,question_difference_ci_low,question_difference_ci_high,full_brier_score,ablated_brier_score,brier_improvement,brier_improvement_ci_low,brier_improvement_ci_high,full_only_correct,ablated_only_correct,mcnemar_max_p
no_misreport,0.1,0.6,4836,3,0.8219602977667494,0.7905982905982906,0.03136200716845878,0.025294665012406944,0.03777226357871519,5.822098152743314,4.558243727598566,1.2638544251447477,1.2067772952853597,1.3228649710504548,0.2852817588249663,0.333465312699255,0.04818355387428861,0.04023070460226082,0.055481364918380044,929,474,5.091941951957439e-08
no_misreport,0.1,0.7,4836,3,0.8520126826578439,0.8318858560794045,0.02012682657843948,0.014541976840363936,0.02543424317617866,6.413633857182244,5.077198786876206,1.3364350703060381,1.278258547008547,1.3935776812792944,0.23425185859728445,0.27772209965578165,0.043470241058497255,0.03598304413585964,0.05117041351897435,762,470,0.0036354807396623825
no_misreport,0.1,0.8,4836,3,0.8718637992831542,0.8581472291149711,0.01371657016818307,0.008684863523573201,0.01874827681279294,6.945409429280397,5.586710780259168,1.3586986490212298,1.3043768955059278,1.4118520816101459,0.19787145589998836,0.23614544947922608,0.0382739935792377,0.030935258501648362,0.04582006429619121,656,457,0.024859328990188986
no_misreport,0.1,0.85,4836,3,0.8794458229942101,0.869313482216708,0.010132340777502068,0.00572098152743314,0.015164047422111937,7.350771987868762,5.966432313206507,1.3843396746622554,1.3329197684036393,1.442447270471464,0.1809383379911544,0.21452978907618936,0.033591451085034946,0.02678921490747509,0.04100364833903031,592,445,0.10309309878067635
no_misreport,0.1,0.9,4836,3,0.8879239040529363,0.8794458229942101,0.00847808105872622,0.003997794320374965,0.012958367797077474,7.869175627240144,6.380204025365316,1.4889716018748278,1.435483870967742,1.5459057071960298,0.1620846527631777,0.19470949292379824,0.03262484016062054,0.026003548826091568,0.03944557585239118,561,438,0.22227820428713146
no_misreport,0.1,0.95,4836,3,0.894403087951475,0.8915081334436173,0.0028949545078577332,-0.0016542597187758476,0.00730631375792666,8.588158257513095,7.038737248414667,1.5494210090984284,1.4926195891921696,1.6080800248138958,0.1476410438851742,0.1684834122056403,0.020842368320466084,0.014975306525816395,0.027180885568835255,477,435,0.6891039860610977
no_misreport,0.2,0.6,4836,3,0.7407637165701683,0.7173972980424593,0.02336641852770885,0.017369727047146403,0.029778398125172308,6.2424179762889445,4.793079680176454,1.4493382961124897,1.3910928453267164,1.5086865867107804,0.4010429644210123,0.4495722951490066,0.0485293307279943,0.04009126663000135,0.056430860220894496,988,649,0.00011180620435628545
no_misreport,0.2,0.7,4836,3,0.7736421284808381,0.7530328094844224,0.020609318996415767,0.01488833746898263,0.026399228012131237,6.9584367245657575,5.39454094292804,1.563895781637717,1.5072304935208163,1.619935552798456,0.3494746062987116,0.4046415742972214,0.05516696799850992,0.04728072075590332,0.06365720331579348,898,599,0.0004814158514733234
no_misreport,0.2,0.8,4836,3,0.7935621725944307,0.7767438654535429,0.016818307140887785,0.011440239867659222,0.022263578715191617,7.563688999172871,5.9941411634960025,1.569547835676868,1.516111800385994,1.6284119106699753,0.3133128674773951,0.3709776645212737,0.05766479704387851,0.049512341050930476,0.06578804079423663,849,605,0.0019015482540108053
no_misreport,0.2,0.85,4836,3,0.8014888337468982,0.7854976564653984,0.01599117728149986,0.010683760683760684,0.02129859387923904,8.016956162117452,6.396539840088227,1.6204163220292251,1.5654087400055143,1.675722015439757,0.2942072536489176,0.35358048935724035,0.05937323570832278,0.05200240894290962,0.06767420290697217,823,591,0.0015017104199245596
no_misreport,0.2,0.9,4836,3,0.8112765370829887,0.7988006617038875,0.012475875379101185,0.007442445547284257,0.017576509511993382,8.617659222497933,6.915908464295561,1.701750758202371,1.6439205955334988,1.7583436724565757,0.27130479730468565,0.32653596409037217,0.0552311667856865,0.04807125080231368,0.06319725920657407,774,593,0.06348657098891233
no_misreport,0.2,0.95,4836,3,0.8205128205128206,0.8112076095947064,0.009305210918114143,0.004342431761786601,0.014336917562724013,9.395092362834298,7.664874551971327,1.7302178108629722,1.6735525227460712,1.787772263578715,0.24897678343552743,0.29603437977078684,0.047057596335259466,0.040038210867271266,0.0546778678417018,722,587,0.29480552033307833
no_misreport,0.3,0.6,4836,3,0.6609456851392336,0.6468155500413565,0.014130135097877033,0.00826785221946512,0.02012682657843948,6.609525778880617,5.045767852219465,1.5637579266611523,1.5073666253101738,1.6253101736972704,0.5188996663814597,0.5664285910079693,0.047528924626509615,0.03976151156481072,0.055451295605454656,971,766,0.07709135118060934
no_misreport,0.3,0.7,4836,3,0.6855527984560243,0.6729390681003583,0.012613730355665839,0.0073045905707196015,0.018265784394816652,7.395092362834298,5.70616211745244,1.6889302453818584,1.6290201957540669,1.7467638544251445,0.48162338375453867,0.5392336355968141,0.05761025184227549,0.04887883874303596,0.0662355907476226,917,734,0.011502619559178863
no_misreport,0.3,0.8,4836,3,0.7049214226633582,0.6885856079404467,0.0163358147229115,0.010682037496553625,0.022125723738626965,8.122553074165976,6.368417424869038,1.7541356492969395,1.6922335952577887,1.8115643093465676,0.44782212446345554,0.5184947306830521,0.07067260621959658,0.06159216987272391,0.0794243859785566,943,706,0.0171701362368493
no_misreport,0.3,0.85,4836,3,0.7109870416322028,0.6941687344913152,0.016818307140887785,0.01123345740281224,0.022196374414116336,8.563482216708023,6.825062034739454,1.738420181968569,1.678141370278467,1.7945978081058727,0.4312160484168275,0.5070401237974693,0.07582407538064184,0.06727302050025885,0.08450079332913266,937,693,0.010283910821289537
no_misreport,0.3,0.9,4836,3,0.7215329473393989,0.7068513923352633,0.014681555004135649,0.00916735594154949,0.020264681555004136,9.227460711331679,7.41322029225255,1.8142404190791286,1.7573631789357598,1.8703680727874277,0.40471029913277995,0.47981296810204754,0.07510266896926761,0.06668786557194586,0.08384502270170997,911,698,0.03211771799315687
