subset,comparison,a,b,level,metric,statistic,point_estimate,boot_mean,ci_low,ci_high,boot_std,n_pairs
primary,total,joint_gate_w1.0,rank_only_w0.0,0.0,total_questions,mean_paired_delta,0.1015873,0.10146698,0.07981859,0.12335601,0.01093556,2205
primary,total,joint_gate_w1.0,rank_only_w0.0,0.0,unnecessary_verification_rate,rate_delta,-0.0904325,-0.09093723,-0.13539866,-0.04430343,0.02297612,2205
primary,total,joint_gate_w1.0,rank_only_w0.0,0.0,conflict_resolution_rate,rate_delta,0.0904325,0.09093723,0.04433437,0.13544018,0.02297612,2205
primary,total,joint_gate_w1.0,rank_only_w0.0,0.1,top1,mean_paired_delta,0.00272109,0.00272707,-0.0031746,0.00861678,0.00297699,2205
primary,total,joint_gate_w1.0,rank_only_w0.0,0.1,top3,mean_paired_delta,0.00362812,0.00361737,-0.00090703,0.00816327,0.00237766,2205
primary,total,joint_gate_w1.0,rank_only_w0.0,0.1,brier,mean_paired_delta,-0.00681333,-0.00683665,-0.01324553,-0.00061728,0.0032059,2205
primary,total,joint_gate_w1.0,rank_only_w0.0,0.1,nll,mean_paired_delta,-0.02036856,-0.02043008,-0.03886572,-0.00270347,0.00915074,2205
primary,total,joint_gate_w1.0,rank_only_w0.0,0.1,margin,mean_paired_delta,0.00156591,0.00157703,-0.00288248,0.00609432,0.00229065,2205
primary,total,joint_gate_w1.0,rank_only_w0.0,0.1,total_questions,mean_paired_delta,0.07210884,0.07199741,0.03401361,0.10975057,0.01931918,2205
primary,total,joint_gate_w1.0,rank_only_w0.0,0.1,unnecessary_verification_rate,rate_delta,-0.05388725,-0.05378145,-0.08135981,-0.02663088,0.01393096,2205
primary,total,joint_gate_w1.0,rank_only_w0.0,0.1,conflict_resolution_rate,rate_delta,0.05600052,0.05587166,0.02875228,0.08330879,0.01387943,2205
primary,total,joint_gate_w1.0,rank_only_w0.0,0.2,top1,mean_paired_delta,0.00589569,0.00588458,-0.00090703,0.01269841,0.00338039,2205
primary,total,joint_gate_w1.0,rank_only_w0.0,0.2,top3,mean_paired_delta,0.0031746,0.00314989,-0.00226757,0.00861678,0.00281055,2205
primary,total,joint_gate_w1.0,rank_only_w0.0,0.2,brier,mean_paired_delta,-0.00657294,-0.00657329,-0.01424771,0.00109885,0.00393825,2205
primary,total,joint_gate_w1.0,rank_only_w0.0,0.2,nll,mean_paired_delta,-0.02646816,-0.0263955,-0.04884379,-0.00397103,0.01138889,2205
primary,total,joint_gate_w1.0,rank_only_w0.0,0.2,margin,mean_paired_delta,-0.00137676,-0.00142871,-0.00619388,0.00313216,0.00237349,2205
primary,total,joint_gate_w1.0,rank_only_w0.0,0.2,total_questions,mean_paired_delta,0.05714286,0.05711483,0.01269841,0.10249433,0.02286867,2205
primary,total,joint_gate_w1.0,rank_only_w0.0,0.2,unnecessary_verification_rate,rate_delta,-0.04164327,-0.04178256,-0.06220658,-0.02052083,0.01052642,2205
primary,total,joint_gate_w1.0,rank_only_w0.0,0.2,conflict_resolution_rate,rate_delta,0.03610643,0.0362442,0.01514448,0.05668695,0.01040659,2205
primary,total,joint_gate_w1.0,rank_only_w0.0,0.3,top1,mean_paired_delta,0.00045351,0.00046113,-0.00907029,0.00952381,0.00471058,2205
primary,total,joint_gate_w1.0,rank_only_w0.0,0.3,top3,mean_paired_delta,0.0031746,0.00315356,-0.00408163,0.01088435,0.00383276,2205
primary,total,joint_gate_w1.0,rank_only_w0.0,0.3,brier,mean_paired_delta,0.00045176,0.00044583,-0.01131227,0.01258544,0.00616826,2205
primary,total,joint_gate_w1.0,rank_only_w0.0,0.3,nll,mean_paired_delta,-0.01665036,-0.01660623,-0.05226815,0.01868664,0.0180623,2205
primary,total,joint_gate_w1.0,rank_only_w0.0,0.3,margin,mean_paired_delta,-0.00533312,-0.00533473,-0.0123763,0.00181551,0.0036199,2205
primary,total,joint_gate_w1.0,rank_only_w0.0,0.3,total_questions,mean_paired_delta,0.0861678,0.08626426,0.03356009,0.14013605,0.02687696,2205
primary,total,joint_gate_w1.0,rank_only_w0.0,0.3,unnecessary_verification_rate,rate_delta,-0.04532602,-0.04528456,-0.06628064,-0.02411235,0.01076277,2205
primary,total,joint_gate_w1.0,rank_only_w0.0,0.3,conflict_resolution_rate,rate_delta,0.04057406,0.04050537,0.01943696,0.06214535,0.01084252,2205
primary,total,joint_gate_w1.0,rank_only_w0.0,0.2+0.3,top1,mean_paired_delta,0.0031746,0.00317286,-0.00226757,0.00861678,0.00277652,4410
primary,total,joint_gate_w1.0,rank_only_w0.0,0.2+0.3,top3,mean_paired_delta,0.0031746,0.00315172,-0.00136054,0.00770975,0.0022838,4410
primary,total,joint_gate_w1.0,rank_only_w0.0,0.2+0.3,brier,mean_paired_delta,-0.00306059,-0.00306373,-0.00990477,0.00394808,0.00356785,4410
primary,total,joint_gate_w1.0,rank_only_w0.0,0.2+0.3,nll,mean_paired_delta,-0.02155926,-0.02150087,-0.0423342,-0.00076195,0.01056898,4410
primary,total,joint_gate_w1.0,rank_only_w0.0,0.2+0.3,margin,mean_paired_delta,-0.00335494,-0.00338172,-0.0076055,0.0008881,0.0021546,4410
primary,total,joint_gate_w1.0,rank_only_w0.0,0.2+0.3,total_questions,mean_paired_delta,0.07165533,0.07168955,0.03673469,0.10748299,0.01791539,4410
primary,total,joint_gate_w1.0,rank_only_w0.0,0.2+0.3,unnecessary_verification_rate,rate_delta,-0.04223534,-0.04227414,-0.05691589,-0.02727273,0.00754124,4410
primary,total,joint_gate_w1.0,rank_only_w0.0,0.2+0.3,conflict_resolution_rate,rate_delta,0.03741109,0.0374336,0.02259358,0.05214204,0.00760783,4410
full_n20,ranking,rank_only_w1.0,rank_only_w0.0,0.0,top1,mean_paired_delta,0.00034014,0.00033813,0.0,0.00102041,0.0003322,2940
full_n20,ranking,rank_only_w1.0,rank_only_w0.0,0.0,top3,mean_paired_delta,0.0,1.97e-06,-0.00102041,0.00102041,0.00046627,2940
full_n20,ranking,rank_only_w1.0,rank_only_w0.0,0.0,brier,mean_paired_delta,2.857e-05,2.847e-05,-0.00051065,0.00048349,0.00025152,2940
full_n20,ranking,rank_only_w1.0,rank_only_w0.0,0.0,nll,mean_paired_delta,0.00010515,0.0001023,-0.00196263,0.0018828,0.00096063,2940
full_n20,ranking,rank_only_w1.0,rank_only_w0.0,0.0,margin,mean_paired_delta,-0.00015179,-0.00015075,-0.00052946,0.00014257,0.00017222,2940
full_n20,ranking,rank_only_w1.0,rank_only_w0.0,0.0,total_questions,mean_paired_delta,0.00306122,0.00307204,0.00102041,0.00544218,0.00109488,2940
full_n20,ranking,rank_only_w1.0,rank_only_w0.0,0.0,unnecessary_verification_rate,rate_delta,0.00404095,0.00399745,-0.0189111,0.02778367,0.01153255,2940
full_n20,ranking,rank_only_w1.0,rank_only_w0.0,0.0,conflict_resolution_rate,rate_delta,-0.00404095,-0.00399745,-0.02777778,0.01904762,0.01153255,2940
full_n20,ranking,rank_only_w1.0,rank_only_w0.0,0.1,top1,mean_paired_delta,0.00102041,0.00099177,-0.00204082,0.00408163,0.00153078,2940
full_n20,ranking,rank_only_w1.0,rank_only_w0.0,0.1,top3,mean_paired_delta,0.00170068,0.00166901,-0.00068027,0.00442177,0.00129933,2940
full_n20,ranking,rank_only_w1.0,rank_only_w0.0,0.1,brier,mean_paired_delta,-0.00132911,-0.00131628,-0.00428011,0.00163772,0.00150202,2940
full_n20,ranking,rank_only_w1.0,rank_only_w0.0,0.1,nll,mean_paired_delta,-0.00478875,-0.00473714,-0.01453188,0.00430014,0.00478984,2940
full_n20,ranking,rank_only_w1.0,rank_only_w0.0,0.1,margin,mean_paired_delta,0.00086302,0.00085799,-0.001647,0.00334877,0.00127408,2940
full_n20,ranking,rank_only_w1.0,rank_only_w0.0,0.1,total_questions,mean_paired_delta,0.04353741,0.04355456,0.02619048,0.06122449,0.00898828,2940
full_n20,ranking,rank_only_w1.0,rank_only_w0.0,0.1,unnecessary_verification_rate,rate_delta,-0.0243501,-0.02432303,-0.0431591,-0.00492092,0.00986448,2940
full_n20,ranking,rank_only_w1.0,rank_only_w0.0,0.1,conflict_resolution_rate,rate_delta,0.02561072,0.02558165,0.00638061,0.04440913,0.00984328,2940
full_n20,ranking,rank_only_w1.0,rank_only_w0.0,0.2,top1,mean_paired_delta,-0.00102041,-0.00101289,-0.00612245,0.00408163,0.00262406,2940
full_n20,ranking,rank_only_w1.0,rank_only_w0.0,0.2,top3,mean_paired_delta,-0.00034014,-0.00033105,-0.00442177,0.0037415,0.00204671,2940
full_n20,ranking,rank_only_w1.0,rank_only_w0.0,0.2,brier,mean_paired_delta,-0.00089744,-0.00091728,-0.00664746,0.0048217,0.00293411,2940
full_n20,ranking,rank_only_w1.0,rank_only_w0.0,0.2,nll,mean_paired_delta,-0.01042307,-0.01049335,-0.02755903,0.00603844,0.00847092,2940
full_n20,ranking,rank_only_w1.0,rank_only_w0.0,0.2,margin,mean_paired_delta,-0.00243823,-0.00244517,-0.00608267,0.00111984,0.00183077,2940
full_n20,ranking,rank_only_w1.0,rank_only_w0.0,0.2,total_questions,mean_paired_delta,0.06088435,0.06078486,0.0329932,0.08945578,0.01436405,2940
full_n20,ranking,rank_only_w1.0,rank_only_w0.0,0.2,unnecessary_verification_rate,rate_delta,-0.02345635,-0.02343994,-0.03981461,-0.00757401,0.00836412,2940
full_n20,ranking,rank_only_w1.0,rank_only_w0.0,0.2,conflict_resolution_rate,rate_delta,0.01810545,0.01809907,0.00215042,0.03424098,0.00818212,2940
full_n20,ranking,rank_only_w1.0,rank_only_w0.0,0.3,top1,mean_paired_delta,0.0,-8.78e-06,-0.00714286,0.00714286,0.00362963,2940
full_n20,ranking,rank_only_w1.0,rank_only_w0.0,0.3,top3,mean_paired_delta,0.00238095,0.0023648,-0.0037415,0.00816327,0.00303081,2940
full_n20,ranking,rank_only_w1.0,rank_only_w0.0,0.3,brier,mean_paired_delta,0.00092477,0.00094954,-0.00829321,0.01002862,0.00469816,2940
full_n20,ranking,rank_only_w1.0,rank_only_w0.0,0.3,nll,mean_paired_delta,-0.01412113,-0.01407379,-0.04145749,0.01267562,0.0137628,2940
full_n20,ranking,rank_only_w1.0,rank_only_w0.0,0.3,margin,mean_paired_delta,-0.0016416,-0.00166313,-0.00717523,0.00380422,0.00280489,2940
full_n20,ranking,rank_only_w1.0,rank_only_w0.0,0.3,total_questions,mean_paired_delta,0.06598639,0.06598799,0.02993197,0.10272109,0.01851129,2940
full_n20,ranking,rank_only_w1.0,rank_only_w0.0,0.3,unnecessary_verification_rate,rate_delta,-0.03412907,-0.03415996,-0.0512213,-0.01722084,0.00876063,2940
full_n20,ranking,rank_only_w1.0,rank_only_w0.0,0.3,conflict_resolution_rate,rate_delta,0.03207722,0.03211433,0.01550533,0.04884043,0.00858215,2940
full_n20,ranking,rank_only_w1.0,rank_only_w0.0,0.2+0.3,top1,mean_paired_delta,-0.0005102,-0.00051083,-0.00493197,0.0037415,0.00219682,5880
full_n20,ranking,rank_only_w1.0,rank_only_w0.0,0.2+0.3,top3,mean_paired_delta,0.00102041,0.00101687,-0.00238095,0.00442177,0.00175656,5880
full_n20,ranking,rank_only_w1.0,rank_only_w0.0,0.2+0.3,brier,mean_paired_delta,1.367e-05,1.613e-05,-0.00553702,0.00541433,0.00277508,5880
full_n20,ranking,rank_only_w1.0,rank_only_w0.0,0.2+0.3,nll,mean_paired_delta,-0.0122721,-0.01228357,-0.02800826,0.00322631,0.00798553,5880
full_n20,ranking,rank_only_w1.0,rank_only_w0.0,0.2+0.3,margin,mean_paired_delta,-0.00203991,-0.00205415,-0.00533114,0.00125955,0.00167995,5880
full_n20,ranking,rank_only_w1.0,rank_only_w0.0,0.2+0.3,total_questions,mean_paired_delta,0.06343537,0.06338643,0.03979592,0.0872449,0.01202777,5880
full_n20,ranking,rank_only_w1.0,rank_only_w0.0,0.2+0.3,unnecessary_verification_rate,rate_delta,-0.02938396,-0.02938966,-0.04141266,-0.01747476,0.00611609,5880
full_n20,ranking,rank_only_w1.0,rank_only_w0.0,0.2+0.3,conflict_resolution_rate,rate_delta,0.02584434,0.02585824,0.01404356,0.037673,0.00600091,5880
full_n20,gating,joint_gate_w1.0,rank_only_w1.0,0.0,top1,mean_paired_delta,0.00272109,0.00272599,-0.00102041,0.00646259,0.00191628,2940
